p,killed_Q0,ap_count_delta_1000000,ap_harm_delta_1000000,ap_count_delta_2000000,ap_harm_delta_2000000,ap_count_delta_5000000,ap_harm_delta_5000000,ap_count_delta_10000000,ap_harm_delta_10000000,survive_1000000,survive_2000000,survive_5000000,survive_10000000
2,1,17168,0.09052965765548202,34732,0.11496145320782832,84643,0.14559303733696963,163592,0.16753120496811863,0,0,0,0
3,1,17170,0.13577754892733035,34760,0.17246885523460545,84629,0.21838316313383951,163571,0.25129552032243824,0,0,0,0
5,1,8634,0.11393820446575155,17387,0.14433658381898717,42319,0.1826106197962645,81786,0.21002080255096053,0,0,0,0
7,1,5725,0.10546691278417143,11565,0.13393585433005886,28187,0.16968206728622795,54542,0.19533854847190985,0,0,0,0
11,1,3479,0.10126921633312269,6995,0.12809217303867165,16926,0.1615773585524375,32737,0.18573273862837156,0,0,0,0
13,1,2882,0.09871049408900502,5757,0.12460203585233284,14035,0.1576405139118977,27269,0.18156590944594747,0,0,0,0
17,0,2125,0.09639712502342823,4331,0.12248929018630209,10562,0.1549039944582898,20458,0.17826061699490597,0,0,0,0
19,0,1912,0.09574916041161988,3836,0.12123203168139822,9443,0.15397103781396973,18114,0.17686317720779327,0,0,0,0
23,1,1567,0.09576828159818827,3131,0.12057651296228414,7674,0.1527604216818829,14850,0.17566741154180288,0,0,0,0
29,1,1228,0.09361945937200526,2488,0.11893643897334627,6018,0.15034809127657736,11687,0.17317289410006578,0,0,0,0
31,0,1133,0.09271026802501024,2304,0.11793314621308741,5680,0.1499762319102344,10907,0.1724582367130519,1,1,1,1
37,1,940,0.09279995402426462,1942,0.118558453471861,4716,0.1500155436273655,9106,0.17257430147890823,0,0,0,0
41,1,849,0.09215524276959099,1728,0.11710380261481156,4194,0.14826419085133952,8106,0.17053646457836913,0,0,0,0
43,1,834,0.09306508371305569,1674,0.1182086837111137,4041,0.1494597405539016,7815,0.17201242208258852,0,0,0,0
47,1,760,0.09438668390334454,1528,0.11951276058430955,3685,0.15066257679958248,7161,0.17349995747760935,0,0,0,0
53,1,633,0.09098104725843051,1298,0.11541871825783324,3273,0.1475695954540545,6292,0.16976434789489497,0,0,0,0
59,0,585,0.09182788488865105,1192,0.11671037300630457,2890,0.14739476769886953,5609,0.16974484759992267,0,0,0,0
61,0,546,0.08892133031257365,1139,0.11433220859061795,2784,0.1451310945053489,5359,0.1669414579151642,1,1,1,1
67,0,532,0.09358849275242709,1051,0.11799104801795242,2537,0.14868574348480268,4949,0.17113180499348682,1,1,1,1
71,0,487,0.09083919401866365,971,0.1146374463294933,2352,0.14470404204856774,4631,0.16714848351045122,0,0,0,0
73,1,480,0.09005353655170387,979,0.11539663666768127,2323,0.14561291043037627,4519,0.1679159158000751,0,0,0,0
79,1,451,0.09363951232632506,916,0.11908357298478178,2196,0.15016098713279996,4218,0.17235174124681973,0,0,0,0
83,1,401,0.08573395162248179,835,0.11083029529215037,2019,0.14082994771622337,3964,0.16329043971279836,0,0,0,0
89,0,407,0.09842364929376844,801,0.12268358481144775,1944,0.15376168384371697,3734,0.17593384664450276,1,1,1,1
97,1,362,0.09161377630087193,731,0.1165484573936355,1735,0.1464732475437249,3394,0.16899580242984252,0,0,0,0
101,0,351,0.09510606692531721,689,0.11859244676005405,1666,0.1489180415467429,3244,0.1710130210780199,1,1,1,1
103,0,348,0.09456527276270946,699,0.11949114313567726,1690,0.15065142908051637,3224,0.1725409710801836,1,1,1,1
107,0,316,0.08975020972465161,640,0.11389574303480773,1613,0.14571461600209243,3088,0.16760367459051803,1,1,1,1
109,0,326,0.09648142332812161,668,0.12219363247094155,1613,0.15363533946184185,3061,0.17546437311474353,1,1,1,1
113,1,311,0.09381742413828363,617,0.11804693770306077,1505,0.14883987325853337,2927,0.17125932106169162,0,0,0,0
127,0,271,0.08822717946370412,550,0.11300001102906675,1328,0.14312873006579638,2584,0.1653613843708303,1,1,1,1
131,1,273,0.0940449623481036,545,0.11869715941893126,1322,0.15028068444687454,2530,0.17217819719604702,0,0,0,0
137,0,257,0.08767568814697582,522,0.11250054755530371,1252,0.14268821089574998,2427,0.16500829872906467,1,1,1,1
139,0,259,0.09091215609356529,504,0.1144905044665345,1248,0.14616780898096857,2380,0.16794383056995876,1,1,1,1
149,0,235,0.08915583403398764,477,0.11480493719093465,1161,0.14583659806004984,2213,0.16753640845045703,1,1,1,1
151,1,232,0.09611491620427409,454,0.11952961472435639,1125,0.15072688585526323,2214,0.17345947444290924,0,0,0,0
157,0,229,0.09527289973631745,467,0.12104685205917626,1095,0.15155480123955833,2090,0.17330057749484096,1,1,1,1
163,0,202,0.08133803376592834,418,0.10574918968510785,1038,0.13670904183407281,2006,0.1585055655812369,0,0,0,0
167,0,227,0.09761336634648325,435,0.12189648617927168,1043,0.15298887746653456,1986,0.17479845149150694,1,1,0,0
173,0,202,0.09309568293010619,410,0.11800101567713417,993,0.1489123012315413,1909,0.17102279731653097,0,0,0,0
179,1,202,0.09852621305008818,408,0.12447624622959919,971,0.15524678875276968,1832,0.17680005124330825,0,0,0,0
181,1,182,0.0914020651840151,378,0.11641770312431186,935,0.1476140675307972,1798,0.16935361147326453,0,0,0,0
191,1,175,0.08740770278573612,368,0.11339510445784469,898,0.14380315468426264,1723,0.16558192627235613,0,0,0,0
193,0,188,0.09635481524175223,352,0.11826243178040849,853,0.14800400710036396,1684,0.17027406954996277,1,1,1,1
197,1,167,0.07707887914521036,335,0.10014017232390074,860,0.1317319161372942,1665,0.15379674828107046,0,0,0,0
199,0,162,0.08630642814078664,338,0.11115027856280205,865,0.14337611084187601,1672,0.16573921720348905,1,1,1,1
211,1,164,0.0932933527019659,329,0.11764077333249726,791,0.14771200587075653,1566,0.17049998001232183,0,0,0,0
223,1,147,0.08544540618699789,319,0.11171070648765732,774,0.1421462735195036,1482,0.16400623871829562,0,0,0,0
227,0,157,0.09484965619054678,310,0.11919341726658515,720,0.14782694149462408,1419,0.16972559475666282,1,1,1,1
229,0,159,0.09534544395331297,310,0.11914181775197227,735,0.14878009452807522,1423,0.17058204567286422,1,0,0,0
233,1,138,0.08263261303942508,289,0.10700756239489748,723,0.13795154045322106,1429,0.16059630603465086,0,0,0,0
239,1,147,0.08743893934100934,294,0.11179517893006229,710,0.14248672541572377,1353,0.16403153241188742,0,0,0,0
241,0,145,0.09241974284918192,301,0.11847054779173279,700,0.14764057312506218,1364,0.16998692307473504,1,1,1,1
251,1,143,0.09567311758699718,285,0.12001042956784516,681,0.15036204814575174,1324,0.17282329907849775,0,0,0,0
257,0,126,0.08071588591017673,268,0.10569748727004459,659,0.1361154374908403,1276,0.15807609371815842,1,1,1,1
263,1,131,0.08423758634815168,256,0.10709534978654568,670,0.1404031606972875,1239,0.1610686081416368,0,0,0,0
269,0,120,0.0857891440195962,262,0.112643919901709,635,0.14362617273269085,1226,0.1655840672889914,1,1,1,1
271,0,131,0.09433601963691658,260,0.11854336691037717,622,0.14825728455921117,1213,0.170388554703917,1,1,1,1
277,0,130,0.09869706377387812,258,0.12347763398867075,625,0.1545922458230315,1189,0.17624479828981818,1,0,0,0
281,1,118,0.0890892598589838,245,0.11389397981381433,586,0.14372688846218423,1146,0.16569168319051752,0,0,0,0
283,1,130,0.0956415006512643,269,0.12272697730682879,611,0.15219144872705606,1181,0.17463958083638217,0,0,0,0
293,0,118,0.08834079492078308,235,0.11234747726084934,571,0.14272501975646884,1112,0.16481676129529282,1,1,1,1
307,0,113,0.08926601274938564,237,0.11541455833839347,554,0.14492366863264777,1068,0.16684960884401928,1,1,1,1
311,0,111,0.08969650158405972,216,0.11268056097156617,543,0.14396647369899504,1053,0.1661444702217325,1,1,1,0
313,0,116,0.08869973475513632,233,0.11416162284197161,559,0.1452638391989145,1072,0.16754096490171957,1,1,1,1
317,1,118,0.09491337207608477,222,0.11736538979407847,542,0.14874404198872243,1044,0.17098143889312048,0,0,0,0
331,0,108,0.09512852534652054,207,0.1181486032312015,504,0.14792790746431225,996,0.17083738364983758,1,1,1,1
337,1,101,0.09315635026149635,213,0.11980866414354145,495,0.14882278718581904,953,0.17009084257846235,0,0,0,0
347,0,108,0.09605893520778587,207,0.12003504136072901,503,0.15116401852553635,947,0.17266216449261484,1,1,1,1
349,0,101,0.10135235043659173,194,0.12319494171234512,487,0.15480634432294169,927,0.1762110721862966,1,1,1,1
353,0,98,0.08721999016788,205,0.11295337585670792,475,0.14141333662342923,918,0.1631980831553035,0,0,0,0
359,1,103,0.09497773205924545,197,0.11920072482283432,467,0.14906584911339574,888,0.1703150303278541,0,0,0,0
367,1,92,0.09413802201897113,181,0.11666828947686331,445,0.14650346962687877,892,0.1691792394914351,0,0,0,0
373,0,102,0.09799183488983809,201,0.12354232180514686,475,0.1548580866634316,903,0.17704395244650753,1,1,1,1
379,0,86,0.08414904967146926,172,0.10660468623211491,435,0.13637581657297027,876,0.15964648524129288,1,1,1,1
383,0,80,0.08269806028704928,168,0.10557873213040671,426,0.13597263697764755,848,0.15861427930708977,1,0,0,0
389,0,94,0.09622057742933217,183,0.12041633965911373,422,0.1485122425033501,829,0.17057983625098772,1,1,1,1
397,1,85,0.0776245724178485,178,0.10280574087486764,438,0.1336378943234396,844,0.1561536459657834,0,0,0,0
401,0,79,0.08503759915213421,164,0.10883923728910862,421,0.1404490618922205,795,0.16131290208984417,1,1,1,1
409,0,91,0.10046371569779275,172,0.12298408064913313,405,0.15192821229466705,780,0.1733542192009443,1,1,1,1
419,1,81,0.09377853665866227,173,0.12108042203267566,397,0.14995387643608657,776,0.17201436271787643,0,0,0,0
421,0,84,0.09776603210096693,169,0.12198030680661294,417,0.15451642527637593,794,0.1766632817101362,1,1,1,1
431,1,80,0.09175875815689336,160,0.11585962164857691,394,0.14645639448573383,751,0.16783635035947972,0,0,0,0
433,0,79,0.08812009910922064,158,0.11247744896558418,391,0.14298275365820703,754,0.16478370274588797,1,1,1,1
439,0,72,0.07952727716165796,152,0.10392825048758499,369,0.13340535981522655,740,0.15626446296844038,1,1,1,1
443,1,79,0.10038181763446968,156,0.12396287422660318,375,0.15363575676014135,743,0.17647790062403781,0,0,0,0
449,0,73,0.08298236342233051,155,0.10839695527793722,369,0.13772002357074856,728,0.16003588853759818,1,0,0,0
457,0,77,0.09214027706015299,149,0.1149121843850888,363,0.14483169571144677,710,0.16660319316000993,1,1,1,1
461,1,81,0.10906043192522909,153,0.13270174313698674,374,0.1636608900765745,723,0.18593570219684924,0,0,0,0
463,1,82,0.10761628936617576,162,0.1335788283342533,391,0.16620676298151613,710,0.18671052015125864,0,0,0,0
467,0,81,0.10582402063475081,165,0.13348415939947705,388,0.16450175475301732,733,0.18687612853005375,1,1,1,1
479,0,65,0.08506378982048166,152,0.11422938206535174,368,0.14597887509690527,688,0.16698840541333554,1,1,1,1
487,1,75,0.10163061325928488,147,0.12581678957579034,347,0.1545427143091389,671,0.17634034014822414,0,0,0,0
491,1,60,0.07283488850525088,135,0.09778332765729016,342,0.1295418052466532,665,0.1516981111128451,0,0,0,0
499,1,75,0.09347173808179256,154,0.1202315718336288,350,0.14927478048242607,675,0.17166351637191474,0,0,0,0
503,0,63,0.08385278748801556,137,0.1097201294288866,344,0.14152431716010958,663,0.16348417799750173,1,1,1,1
509,0,71,0.09743202618851103,145,0.12386910067315127,348,0.1562692072523981,669,0.1791422382682156,1,1,1,1
521,0,63,0.08289292250181299,129,0.10645992484568759,312,0.1359878326563485,629,0.15893853538838604,1,1,1,1
523,0,71,0.08943922474032237,142,0.1154896444825773,333,0.1455737382333229,640,0.16783625146554396,1,1,1,1
541,0,68,0.10080565738459438,137,0.12605455373098537,322,0.15671247246098793,610,0.17850406308286973,1,1,1,1
547,1,52,0.07431889519982837,110,0.0963894466907523,304,0.12919127626291455,596,0.15177438691495124,0,0,0,0
557,1,60,0.0803258153329948,120,0.10393628713879359,287,0.13236613050907103,579,0.15519121042373069,0,0,0,0
563,0,58,0.0944680600909717,119,0.11802700764453017,312,0.1517617469709751,585,0.1732429313721077,1,1,1,1
569,0,56,0.08067331562245192,117,0.10507182083343791,284,0.13386216920960178,559,0.15572308926757342,1,1,1,1
571,1,66,0.090411116668221,135,0.11758235942468238,299,0.14647238603427762,601,0.1701447497032021,0,0,0,0
577,1,58,0.08670176668965189,121,0.11316822654555966,295,0.1437624153849392,546,0.16374478829356656,0,0,0,0
587,0,50,0.07393911798078794,107,0.09784183529119721,284,0.13043161106233156,561,0.15268942892070045,0,0,0,0
593,0,57,0.09369531843713665,108,0.1150895191034108,288,0.14847984165262734,553,0.17034867382548138,0,0,0,0
599,0,52,0.08200374000388723,105,0.1044213842916102,296,0.13976637296044384,552,0.16119643366859107,1,1,1,1
601,1,61,0.08574347274651516,115,0.10859396326147375,273,0.13746384374851767,539,0.159854639087999,0,0,0,0
607,0,58,0.09314218703266909,113,0.1169935525967356,279,0.1478676823402665,537,0.16981977417239336,1,1,1,1
613,0,53,0.09176103615129401,108,0.11500266272818742,268,0.1448215522614571,533,0.16726325117451507,1,1,1,1
617,1,53,0.09602525862609823,106,0.11924094071394176,270,0.14990996051729855,514,0.1708692059080913,0,0,0,0
619,0,54,0.09255116514932377,112,0.11760628958190031,270,0.14813889061428537,517,0.16947245742990039,0,0,0,0
631,0,57,0.09099641864352442,117,0.11693811439767916,274,0.14734053661952767,546,0.170898742218336,1,1,1,1
641,1,56,0.0936245583621286,108,0.11630833513743485,265,0.14749620183047554,508,0.16912109137268935,0,0,0,0
643,0,53,0.09617499361071885,105,0.12031653200920213,266,0.1516980222205224,516,0.1743665041030267,1,1,0,0
647,0,48,0.07455508323037133,98,0.09731875258456828,266,0.13091826091169548,509,0.1522235145221908,1,1,1,1
653,0,60,0.09567386924869375,117,0.12160604304048374,259,0.14909886758398008,503,0.1713054446261929,1,1,1,1
659,1,55,0.097313493604687,112,0.12334957599697914,258,0.1534374370620924,485,0.17426567685751135,0,0,0,0
661,0,53,0.1021701742706112,103,0.12586195748298198,251,0.15590219251029197,503,0.17865078629063394,1,1,1,1
673,0,49,0.08605670312316237,98,0.10871176273225937,243,0.13800698592031893,474,0.15936164917063794,1,1,1,1
677,0,46,0.06835255299672471,97,0.09135850082136726,239,0.120878072758021,497,0.14528196398420173,1,1,1,1
683,1,53,0.0926201131290864,108,0.11858076739548813,252,0.14938089393872866,499,0.173076118634284,0,0,0,0
691,0,49,0.08725785730596652,96,0.10951811229829866,251,0.14198326456080596,477,0.16394948885252808,1,1,1,1
701,0,40,0.08319285394648354,94,0.10966810944718541,226,0.13881688625203437,461,0.16190773626291888,0,0,0,0
709,0,46,0.07221698699196205,98,0.09821820564383882,221,0.1249847666255465,458,0.1484150837333611,1,1,1,1
719,1,60,0.1090744558455984,115,0.13737552937919648,257,0.16871187740177665,481,0.1910757491727114,0,0,0,0
727,0,48,0.08962052125092153,100,0.11565918692560906,243,0.14840316557355682,471,0.17141481118487942,1,1,1,1
733,0,51,0.10605992941885363,98,0.1302537653172838,233,0.16068965875279373,442,0.182097482996999,1,1,1,1
739,0,44,0.08627370387877865,91,0.11006279948515615,237,0.14359451809516438,448,0.16518187527598796,1,1,1,1
743,1,44,0.08495542067506802,89,0.10799065959906279,225,0.13937766562955617,438,0.1613294720167608,0,0,0,0
751,0,51,0.08259969822837318,98,0.10680925317006604,235,0.13916263248166505,449,0.16128857810294495,1,1,1,1
757,0,44,0.08447807888897366,89,0.10838008558097201,226,0.13931890421108806,446,0.16245844896484424,1,1,1,0
761,1,47,0.0968503893263927,88,0.1192458124815969,228,0.15159425371635796,435,0.17350197075945809,0,0,0,0
769,0,38,0.07937749963700697,86,0.10463123748116374,213,0.1339141516164265,412,0.15514198377827268,1,1,1,1
773,0,46,0.09222542333510157,84,0.11418561459079042,218,0.1464447112069104,407,0.16675092191446772,1,1,1,0
787,0,44,0.09558303328998302,89,0.12082083206819941,224,0.15365539909295817,416,0.1744372129465252,1,1,1,1
797,0,41,0.0961305326587657,96,0.12598248206201557,226,0.15848250839382894,413,0.17906278250651933,1,1,1,1
809,0,39,0.0860836800535213,82,0.11052352568757559,216,0.14353616665471028,399,0.16360094734995762,1,1,1,1
811,0,45,0.08647735860397163,85,0.10910043473530105,208,0.1392432650549946,402,0.16094442279518362,0,0,0,0
821,0,44,0.10135379062918251,89,0.12721148324483506,217,0.15937710161722007,404,0.18040185515807816,1,1,1,1
823,0,40,0.0892959865705948,87,0.1162561811376436,198,0.14551820298209034,386,0.16699365096606308,1,1,1,1
827,1,41,0.08806164043692266,82,0.11177449869688354,191,0.1396555057561317,373,0.1606071263550869,0,0,0,0
829,1,37,0.08622461668156595,78,0.10875523457414774,190,0.1375739853312047,373,0.1588092490355704,0,0,0,0
839,1,45,0.1070402176249131,84,0.13041294132977962,198,0.16072859922801788,397,0.1843744664796729,0,0,0,0
853,0,36,0.08583743904126222,84,0.11393573767339134,205,0.14514979120273355,387,0.16688328017400958,1,1,1,1
857,1,42,0.11191631002523991,78,0.13354678894065775,192,0.16312081429465133,372,0.18456884532810688,0,0,0,0
859,0,45,0.09486426261218292,85,0.11855225839838039,201,0.1487322184901552,367,0.16859254323100695,1,1,1,0
863,0,27,0.061579432865142,71,0.08825757487858647,192,0.12033021061751288,364,0.14090539280481884,1,1,1,0
877,1,36,0.0929517455070095,77,0.11789193701232718,185,0.14681893949347793,366,0.1687226508830369,0,0,0,0
881,1,42,0.09761489515281332,80,0.11995227759823394,192,0.15048526659343986,353,0.169993870463217,0,0,0,0
883,1,36,0.0735706279223535,75,0.09752978105190845,179,0.12519945215860134,350,0.14610899695055804,0,0,0,0
887,0,44,0.1156454449951833,79,0.13637654652354636,194,0.1685743987507001,365,0.18939930397241903,1,1,1,1
907,0,40,0.10667508403762142,71,0.12618194779030503,179,0.15670557896136028,362,0.17952783355522878,1,0,0,0
911,1,42,0.10591787986577746,81,0.13056687429527572,195,0.16207031404369432,369,0.1842700151227442,0,0,0,0
919,0,43,0.10444856069724126,88,0.13424205072163845,204,0.16753478895716362,374,0.1893286777740152,1,1,1,1
929,1,32,0.0843256525436552,78,0.1139952541827727,186,0.14529776650067872,357,0.1673962799966674,0,0,0,0
937,1,43,0.10157308033726771,78,0.1249699982749445,187,0.15705529878364574,354,0.17860952738280345,0,0,0,0
941,1,39,0.09808395409349069,77,0.12302169652061824,174,0.15071246470526256,337,0.17211210139483607,0,0,0,0
947,0,35,0.08199479425238436,74,0.10816810358890966,178,0.13781106584883507,336,0.15908838452015076,1,1,1,1
953,0,35,0.085684081762756,67,0.10695559068334153,174,0.13773556767844589,361,0.1623880273012198,0,0,0,0
967,1,37,0.11008549841570742,70,0.13151597730531372,156,0.15715488738169608,329,0.18069353328161109,0,0,0,0
971,0,38,0.0995248091355264,67,0.12052191271453586,170,0.1508825083170123,333,0.17307879678818694,1,1,1,1
977,0,40,0.09447959429633879,77,0.11928369664364845,184,0.15106605105893522,346,0.17307571202040756,0,0,0,0
983,0,33,0.08466631523003593,74,0.11257159718489224,171,0.14105527135367776,330,0.16298497846096738,1,1,1,1
991,0,35,0.0794350096204954,72,0.1041912906318257,169,0.1336246245616168,332,0.15559425781185332,1,1,1,1
997,0,42,0.10793587567826379,78,0.1340285783091243,167,0.16150180429942085,329,0.18417531766360887,1,1,1,1
1009,0,29,0.07197188494491887,54,0.08936447032728839,154,0.12053920662208921,308,0.14213699589209736,1,1,0,0
1013,1,37,0.09765952300220104,74,0.12435063625785066,174,0.15536915866360534,330,0.17699234845101444,0,0,0,0
1019,1,33,0.09065501442174152,69,0.11624021707114471,155,0.14303719239009244,310,0.16547882513717654,0,0,0,0
1021,1,37,0.09119786964713061,69,0.11449001916515297,155,0.14097329308217063,308,0.16295097699360062,0,0,0,0
1031,1,25,0.06553702285012554,63,0.09401748066869609,161,0.12499717153985324,311,0.1464114302342531,0,0,0,0
1033,0,31,0.08242289383307098,63,0.10561700421183158,155,0.13495411343532293,289,0.15422209255475447,0,0,0,0
1039,0,32,0.07617563649497386,65,0.10098226239502937,158,0.13129898778703114,307,0.15273397266396554,1,1,1,0
1049,1,33,0.08981509249968121,67,0.11396106362118713,162,0.1446356727182281,323,0.1679064315012035,0,0,0,0
1051,0,29,0.056518176422080874,67,0.08364625887937681,163,0.11465932760169832,327,0.13867987762329892,1,1,0,0
1061,0,27,0.07200185087669643,55,0.09245899819963703,158,0.12609848534938814,309,0.1482217159475254,1,1,1,1
1063,0,32,0.09249657436855846,72,0.1222106219483555,163,0.15195921816280267,334,0.17660443193994133,1,1,1,1
1069,0,33,0.09296467251006568,73,0.12304700595409022,169,0.15360557503682773,311,0.1746803432065222,1,1,1,1
1087,0,26,0.07254006279038264,59,0.09884551929548747,150,0.1293062382480225,305,0.1528734632287322,1,1,1,1
1091,1,34,0.09444961458603815,72,0.12373939731578641,161,0.15342493961363748,313,0.17660423942958026,0,0,0,0
1093,1,36,0.10194535657331197,69,0.12577527888278453,154,0.15352887897992887,298,0.1748041568079266,0,0,0,0
1097,0,36,0.10988482259532933,70,0.13640459811244324,162,0.16794757531180754,299,0.18903069931266725,0,0,0,0
1103,1,31,0.09752376702558622,64,0.12309843839325904,164,0.15643513901166012,302,0.17773272464655201,0,0,0,0
1109,0,31,0.08358293416152567,63,0.10828848665998159,154,0.13930508254751545,310,0.1630855306917583,1,1,1,1
1117,1,25,0.06420108732695519,60,0.0919428548068454,156,0.12471897232565117,291,0.1458310832401446,0,0,0,0
1123,0,31,0.10195181955490601,61,0.12504833361716794,150,0.1550751106468876,282,0.17582514408311256,1,1,1,1
1129,1,29,0.07757498656547734,64,0.104647322380037,135,0.12925068811226023,266,0.14971941444623396,0,0,0,0
1151,0,34,0.10362597184708966,67,0.13050603556227194,162,0.16380503114879716,299,0.18569924458733786,1,1,1,1
1153,0,25,0.06039764733082851,60,0.08817445200553327,130,0.11266031725227099,268,0.13461945594343933,0,0,0,0
1163,0,26,0.07710396947916592,52,0.09882394081054477,134,0.12822981210223877,268,0.14955463666617855,1,1,1,1
1171,0,26,0.09343047395016724,54,0.11646934036123088,138,0.1464579078878377,276,0.16911581850023794,1,1,1,1
1181,0,28,0.07626815014220018,53,0.0968346383434084,146,0.12989871225253274,286,0.15293692788321966,1,1,0,0
1187,0,38,0.11734343173377157,65,0.14032921611953172,143,0.16786713922076538,278,0.19028135674171873,0,0,0,0
1193,0,37,0.11002970786786069,68,0.13458281239118744,147,0.163536511501318,269,0.18393108492851334,0,0,0,0
1201,1,32,0.10525946605403132,63,0.1313617693397711,134,0.1579416273419365,263,0.1788201181971082,0,0,0,0
1213,0,22,0.07874344030322997,55,0.10668509026940332,133,0.1359200755780522,264,0.15784928591873343,0,0,0,0
1217,0,26,0.08812254536349418,62,0.11843938281985283,136,0.1449216077272117,271,0.16765081645155827,1,1,1,1
1223,1,29,0.09055142087367116,58,0.11524724747229304,142,0.1477282318382407,256,0.16699426302662257,0,0,0,0
1229,1,29,0.09410886086527628,58,0.11905993517596289,146,0.1515333677715431,267,0.1718316171020823,0,0,0,0
1231,0,31,0.10407514218189416,57,0.1262213587128822,146,0.1592596224232107,268,0.18037403897577528,0,0,0,0
1237,0,30,0.10594921948116087,62,0.13317637050595174,149,0.1661943633507513,275,0.1883246124321228,1,1,1,1
1249,1,27,0.07560259113543093,51,0.09738138351608548,134,0.12926131467546953,258,0.15057338403122228,0,0,0,0
1259,0,32,0.09519426065194835,61,0.12022624607444651,136,0.14987562300265556,259,0.17178065965066736,1,1,1,1
1277,0,27,0.09238572020737056,49,0.1115371987116407,135,0.1450342116096214,253,0.16628078335972818,1,1,1,1
1279,0,34,0.11767757481252793,59,0.13952742490749567,136,0.16863429280058506,266,0.19155608401550434,1,1,1,1
1283,0,32,0.11573511551140131,55,0.13614904447699827,133,0.16712390692965057,248,0.18793585767970553,1,1,1,1
1289,0,27,0.0918305405637796,46,0.10933575456556151,122,0.14070662439387216,236,0.16099050855355573,1,1,1,1
1291,0,28,0.0982463654212477,57,0.1253522440675994,140,0.1579552074745075,262,0.17964923334039828,1,1,1,1
1297,0,21,0.06467457780170244,47,0.08927042134271429,121,0.1196075813165445,249,0.1428283326982056,1,1,1,1
1301,0,28,0.10111883096427193,55,0.12512969672519447,129,0.1552166041072922,251,0.1764904931747591,1,1,1,1
1303,0,27,0.08399497542976957,51,0.10527781817026538,126,0.13436925047130532,251,0.15661776865941487,1,1,1,1
1307,0,32,0.10842312857975753,60,0.13442665299567372,125,0.16148997798034448,258,0.18556281384648476,1,1,1,1
1319,0,19,0.06260321747101623,39,0.08080974345317342,109,0.10917906790419117,228,0.13093810478998788,1,1,1,1
1321,1,19,0.05293188991440809,47,0.07836260356963395,127,0.11002753620294933,248,0.13226058308945945,0,0,0,0
1327,0,26,0.09554826350267473,50,0.11824450768703867,122,0.14687666786512704,235,0.16778769593842732,1,1,0,0
1361,1,30,0.11179326914884792,54,0.13429955705860364,119,0.16168264247214434,230,0.1824760614452467,0,0,0,0
1367,1,25,0.09911340619082463,51,0.1220065723174069,134,0.15683836596396478,252,0.17908364133204352,0,0,0,0
1373,0,19,0.07356126090247593,54,0.10723969251472594,123,0.1364285075463401,235,0.15728972883149972,1,1,1,1
1381,1,27,0.10054136320488144,52,0.12426930028866275,124,0.15427115389227458,255,0.17932234718822374,0,0,0,0
1399,0,21,0.07740094838282284,50,0.10589794960790593,122,0.13640993836545925,232,0.15788448856679724,1,1,1,1
1409,0,21,0.09354708293274806,48,0.11895820932797951,122,0.15161615137018347,239,0.17450395735882798,1,1,1,1
1423,0,24,0.08838826338709271,45,0.10939517292539977,114,0.14080801094845993,229,0.1635271072220484,1,0,0,0
1427,0,26,0.11905994658833058,54,0.14631013842605853,124,0.17679817551828303,220,0.19604954367009275,1,1,1,1
1429,0,28,0.11704646382867837,53,0.14291974243586678,125,0.174196885409279,228,0.19523409124007612,1,1,1,1
1433,1,25,0.10759658027154262,51,0.13276443961192896,118,0.16236696894599953,224,0.18369066431468,0,0,0,0
1439,1,23,0.08849952080451001,47,0.11122239613308789,116,0.14240450898453777,207,0.16066347291390787,0,0,0,0
1447,1,21,0.06932327648387888,44,0.09279359657700968,117,0.1268264965545292,227,0.1493234539020259,0,0,0,0
1451,1,29,0.11016281525240973,55,0.13584085500358437,126,0.16766894907994317,235,0.1890834034089732,0,0,0,0
1453,1,29,0.09410292865382434,59,0.1222247227389049,136,0.15586570168471436,249,0.17884283975318296,0,0,0,0
1459,1,23,0.09836844234819417,42,0.11868309015856518,120,0.15340595440149943,236,0.1770933649745757,0,0,0,0
1471,0,25,0.11146662936136358,45,0.1310849852729569,123,0.1659664239705194,230,0.1877636548948903,1,1,1,1
1481,1,22,0.06722207841018092,49,0.09575812992361524,117,0.1280546578701982,225,0.15060779785668874,0,0,0,0
1483,0,26,0.10732367594334748,50,0.13297558073674254,127,0.16860037802078648,229,0.18918761295990388,1,1,1,1
1487,0,25,0.09645152094652765,50,0.12271150144216783,114,0.15130716623158277,213,0.17173973351950866,1,1,1,1
1489,1,22,0.1040041754943219,40,0.12331167942516386,106,0.15265080963604638,206,0.17321832298025316,0,0,0,0
1493,0,25,0.11861759576752497,40,0.1344430073627987,111,0.16646498333504217,224,0.1893031030827098,1,1,1,1
1499,1,30,0.11630580467282697,52,0.13876809482045657,109,0.1652735767064306,212,0.1866390329821839,0,0,0,0
1511,1,23,0.08157778353444159,45,0.10549715022285527,119,0.13959554968692536,211,0.1588852868816457,0,0,0,0
1523,0,22,0.07850681651741943,44,0.10232233900779453,102,0.13039740404013564,211,0.1533032638672696,1,1,0,0
1531,1,29,0.11757111707686295,50,0.13935769873276305,126,0.17543126255293962,230,0.19773017252415187,0,0,0,0
1543,0,17,0.08372571287193174,40,0.10953291628946914,109,0.14251881094158206,212,0.16445316903128457,0,0,0,0
1549,0,18,0.07841290981731933,45,0.10807919360601374,115,0.1412268794621285,206,0.16066633373718156,1,1,1,1
